Time (ms), Resistance (Ohms)
898844,952.89
899846,859.87
900846,871.41
901848,871.41
902848,871.41
903849,859.87
904850,859.87
905851,871.41
906852,871.41
907853,871.41
908854,871.41
909855,859.87
910856,871.41
911856,906.18
912858,882.98
913858,894.57
914860,836.86
915860,882.98
916861,871.41
917862,836.86
918863,882.98
919864,882.98
920865,882.98
921866,952.89
922867,894.57
923868,882.98
924869,871.41
925870,848.36
926871,871.41
927872,859.87
928872,871.41
929873,848.36
930874,859.87
931875,859.87
932876,859.87
933877,848.36
934878,859.87
935879,859.87
936880,859.87
937881,859.87
938882,894.57
939883,871.41
940883,871.41
941885,871.41
942885,871.41
943887,871.41
944887,871.41
945889,871.41
946889,848.36
947890,871.41
948891,871.41
949892,882.98
950893,859.87
951894,836.86
952895,871.41
953895,871.41
954897,871.41
955897,871.41
956899,848.36
957899,825.40
958901,871.41
959901,882.98
960903,871.41
961903,871.41
962905,871.41
963905,871.41
964907,952.89
965907,871.41
966907,882.98
967909,894.57
968909,882.98
969911,882.98
970911,871.41
971913,848.36
972913,871.41
973915,871.41
974915,871.41
975917,882.98
976917,836.86
977918,882.98
978919,917.82
979920,882.98
980921,882.98
981922,882.98
982923,871.41
983924,882.98
984925,859.87
985925,871.41
986927,871.41
987927,871.41
988929,894.57
989929,848.36
990930,871.41
991931,871.41
992932,941.18
993933,882.98
994934,871.41
995935,871.41
996936,871.41
997937,871.41
998938,882.98
999939,871.41
1000940,859.87
1001940,871.41
1002942,882.98
1003942,882.98
1004944,836.86
1005944,906.18
1006946,871.41
1007946,871.41
1008948,882.98
1009948,871.41
1010950,871.41
1011950,871.41
1012952,848.36
1013952,848.36
1014953,882.98
1015954,871.41
1016955,848.36
1017956,848.36
1018957,871.41
1019958,825.40
1020959,894.57
1021960,859.87
1022961,871.41
1023962,882.98
1024963,882.98
1025964,882.98
1026965,894.57
1027965,882.98
1028967,882.98
1029968,871.41
1030969,882.98
1031970,871.41
1032971,871.41
1033972,871.41
1034973,882.98
1035974,871.41
1036975,941.18
1037976,882.98
1038977,894.57
1039978,871.41
1040978,871.41
1041980,836.86
1042980,882.98
1043982,871.41
1044982,871.41
1045984,882.98
1046984,848.36
1047986,859.87
1048986,802.53
1049988,871.41
1050988,882.98
1051990,882.98
1052990,882.98
1053991,894.57
1054992,848.36
1055993,871.41
1056994,882.98
1057995,848.36
1058996,848.36
1059997,906.18
1060998,906.18
1061999,848.36
1063001,871.41
1064001,871.41
1065003,871.41
1066003,871.41
1067004,859.87
1068005,871.41
1069006,859.87
1070007,859.87
1071008,859.87
1072009,859.87
1073010,848.36
1074011,836.86
1075012,894.57
1076013,859.87
1077014,859.87
1078014,871.41
1079016,871.41
1080016,859.87
1081018,871.41
1082018,871.41
1083020,859.87
1084020,871.41
1085022,859.87
1086022,894.57
1087024,859.87
1088024,894.57
1089026,848.36
1090026,859.87
1091027,894.57
1092028,871.41
1093029,894.57
1094030,859.87
1095031,871.41
1096033,882.98
1097033,871.41
1098035,859.87
1099035,859.87
1100037,859.87
1101037,848.36
1102039,941.18
1103039,836.86
1104040,859.87
1105041,859.87
1106042,871.41
1107043,848.36
1108044,859.87
1109045,871.41
1110046,871.41
1111047,859.87
1112048,882.98
1113049,859.87
1114050,882.98
1115051,871.41
1116052,859.87
1117052,871.41
1118054,859.87
1119054,871.41
1120056,906.18
1121056,917.82
1122058,882.98
1123058,859.87
1124060,859.87
1125060,859.87
1126062,836.86
1127062,848.36
1128064,848.36
1129065,929.49
1130065,848.36
1131067,836.86
1132067,859.87
1133069,848.36
1134069,848.36
1135071,836.86
1136071,848.36
1137073,859.87
1138073,848.36
1139075,848.36
1140075,848.36
1141076,859.87
1142077,859.87
1143078,871.41
1144079,848.36
1145080,859.87
1146081,859.87
1147082,917.82
1148083,882.98
1149084,859.87
1150085,871.41
1151086,859.87
1152087,871.41
1153088,859.87
1154088,917.82
1155090,929.49
1156090,859.87
1157092,871.41
1158092,859.87
1159094,848.36
1160095,882.98
1161096,836.86
1162097,859.87
1163098,859.87
1164099,859.87
1165100,836.86
1166101,871.41
1167101,871.41
1168103,871.41
1169103,859.87
1170105,871.41
1171105,871.41
1172107,848.36
1173107,859.87
1174109,859.87
1175109,906.18
1176111,871.41
1177111,848.36
1178113,859.87
1179113,859.87
1180114,859.87
1181115,859.87
1182116,836.86
1183117,906.18
1184118,871.41
1185119,859.87
1186120,859.87
1187121,836.86
1188122,848.36
1189124,848.36
1190124,859.87
1191126,848.36
1192126,859.87
1193127,825.40
1194128,848.36
1195129,859.87
1196130,859.87
1197131,859.87
1198132,813.95
1199133,848.36
1200134,848.36
1201135,848.36
1202136,848.36
1203137,848.36
1204137,859.87
1205139,859.87
1206139,859.87
1207141,848.36
1208141,859.87
1209143,848.36
1210143,848.36
1211145,882.98
1212145,859.87
1213147,859.87
1214147,859.87
1215149,836.86
1216149,836.86
1217150,859.87
1218151,836.86
1219152,836.86
1220153,802.53
1221154,848.36
1222156,848.36
1223156,848.36
1224158,859.87
1225158,848.36
1226160,882.98
1227160,859.87
1228162,871.41
1229162,859.87
1230163,848.36
1231164,859.87
1232165,848.36
1233166,859.87
1234167,859.87
1235168,859.87
1236169,859.87
1237170,906.18
1238171,848.36
1239172,859.87
1240173,848.36
1241174,848.36
1242175,813.95
1243175,825.40
1244177,813.95
1245177,848.36
1246179,848.36
1247179,871.41
1248181,825.40
1249181,848.36
1250183,836.86
1251183,848.36
1252185,825.40
1253186,848.36
1254187,859.87
1255188,859.87
1256188,859.87
1257190,848.36
1258190,859.87
1259192,836.86
1260192,859.87
1261194,906.18
1262194,802.53
1263196,802.53
1264196,848.36
1265198,848.36
1266198,848.36
1267200,859.87
1268200,848.36
1269201,882.98
1270202,848.36
1271203,813.95
1272204,825.40
1273205,848.36
1274206,848.36
1275207,848.36
1276208,836.86
1277209,859.87
1278210,871.41
1279211,848.36
1280211,848.36
1281213,848.36
1282213,882.98
1283215,859.87
1284216,848.36
1285217,848.36
1286218,848.36
1287219,859.87
1288220,802.53
1289221,848.36
1290222,848.36
1291223,836.86
1292224,848.36
1293224,848.36
1294226,768.42
1295226,813.95
1296228,836.86
1297228,802.53
1298230,848.36
1299230,836.86
1300232,836.86
1301232,848.36
1302234,871.41
1303234,825.40
1304236,825.40
1305236,791.14
1306237,859.87
1307238,848.36
1308239,836.86
1309240,848.36
1310241,813.95
1311242,848.36
1312243,848.36
1313244,848.36
1314245,848.36
1315246,848.36
1316247,836.86
1317249,836.86
1318249,848.36
1319250,848.36
1320251,791.14
1321252,848.36
1322253,848.36
1323254,848.36
1324255,859.87
1325256,859.87
1326257,836.86
1327258,848.36
1328259,848.36
1329260,882.98
1330260,836.86
1331262,848.36
1332262,848.36
1333264,848.36
1334264,848.36
1335266,848.36
1336266,802.53
1337268,848.36
1338268,848.36
1339270,836.86
1340270,836.86
1341272,882.98
1342272,836.86
1343273,836.86
1344274,779.77
1345275,859.87
1346276,836.86
1347277,848.36
1348278,848.36
1349279,848.36
1350281,836.86
1351281,848.36
1352283,848.36
1353283,882.98
1354285,848.36
1355285,848.36
1356286,836.86
1357287,836.86
1358288,859.87
1359289,848.36
1360290,836.86
1361291,813.95
1362292,836.86
1363293,859.87
1364294,836.86
1365295,848.36
1366296,848.36
1367297,848.36
1368298,848.36
1369298,848.36
1370300,836.86
1371300,848.36
1372302,848.36
1373302,859.87
1374304,848.36
1375304,836.86
1376306,848.36
1377306,836.86
1378308,848.36
1379308,825.40
1380310,836.86
1381311,836.86
1382311,836.86
1383313,836.86
1384313,836.86
1385315,848.36
1386315,802.53
1387317,848.36
1388317,836.86
1389319,836.86
1390319,836.86
1391321,836.86
1392321,848.36
1393323,929.49
1394323,836.86
1395324,836.86
1396325,848.36
1397326,802.53
1398327,848.36
1399328,859.87
1400329,825.40
1401330,836.86
1402331,848.36
1403332,836.86
1404333,836.86
1405334,802.53
1406334,894.57
1407336,848.36
1408336,848.36
1409338,848.36
1410338,836.86
1411340,836.86
1412340,917.82
1413342,745.80
1414343,836.86
1415344,825.40
1416345,836.86
1417346,836.86
1418347,882.98
1419347,848.36
1420349,859.87
1421349,836.86
1422351,859.87
1423351,802.53
1424353,859.87
1425353,836.86
1426355,836.86
1427355,836.86
1428357,836.86
1429357,848.36
1430359,836.86
1431359,836.86
1432360,836.86
1433361,836.86
1434362,836.86
1435363,813.95
1436364,848.36
1437365,848.36
1438366,859.87
1439367,859.87
1440368,791.14
1441369,906.18
1442370,848.36
1443371,836.86
1444372,848.36
1445373,848.36
1446374,929.49
1447375,859.87
1448376,848.36
1449377,859.87
1450378,859.87
1451379,848.36
1452380,859.87
1453381,859.87
1454382,882.98
1455383,859.87
1456384,859.87
1457385,859.87
1458385,906.18
1459387,859.87
1460387,791.14
1461389,871.41
1462389,859.87
1463391,848.36
1464391,848.36
1465393,871.41
1466393,802.53
1467395,825.40
1468395,848.36
1469396,848.36
1470397,848.36
1471398,848.36
1472399,813.95
1473400,825.40
1474401,848.36
1475402,859.87
1476403,848.36
1477404,848.36
1478405,825.40
1479406,848.36
1480408,848.36
1481408,836.86
1482409,825.40
1483410,825.40
1484411,825.40
1485412,848.36
1486413,848.36
1487414,848.36
1488415,848.36
1489416,848.36
1490417,848.36
1491418,836.86
1492419,848.36
1493420,848.36
1494421,825.40
1495421,952.89
1496423,848.36
1497423,848.36
1498425,848.36
1499425,848.36
1500427,859.87
1501427,848.36
1502429,848.36
1503429,848.36
1504431,848.36
1505431,779.77
1506433,848.36
1507433,848.36
1508434,848.36
1509435,848.36
1510436,941.18
1511437,848.36
1512438,848.36
1513440,836.86
1514440,825.40
1515442,813.95
1516442,848.36
1517444,836.86
1518444,848.36
1519446,848.36
1520446,859.87
1521447,859.87
1522448,848.36
1523449,848.36
1524450,848.36
1525451,791.14
1526452,825.40
1527453,848.36
1528454,859.87
1529455,848.36
1530456,836.86
1531457,813.95
1532457,848.36
1533459,848.36
1534459,859.87
1535461,894.57
1536461,848.36
1537463,859.87
1538463,848.36
1539465,848.36
1540465,848.36
1541467,859.87
1542467,848.36
1543469,859.87
1544469,859.87
1545470,848.36
1546472,848.36
1547472,836.86
1548474,825.40
1549474,848.36
1550476,859.87
1551476,848.36
1552478,848.36
1553478,859.87
1554480,791.14
1555480,848.36
1556482,848.36
1557482,848.36
1558483,813.95
1559484,848.36
1560485,848.36
1561486,848.36
1562487,848.36
1563488,836.86
1564489,871.41
1565490,848.36
1566491,836.86
1567492,848.36
1568493,848.36
1569494,779.77
1570495,848.36
1571495,848.36
1572497,802.53
1573497,848.36
1574499,848.36
1575499,848.36
1576501,836.86
1577501,848.36
1578503,859.87
1579504,779.77
1580505,859.87
1581506,848.36
1582507,859.87
1583508,859.87
1584508,941.18
1585510,859.87
1586510,848.36
1587512,848.36
1588512,779.77
1589514,894.57
1590514,859.87
1591516,859.87
1592516,859.87
1593518,859.87
1594518,813.95
1595520,859.87
1596520,859.87
1597521,836.86
1598522,859.87
1599523,941.18
1600524,859.87
1601525,848.36
1602526,871.41
1603527,848.36
1604528,871.41
1605529,859.87
1606530,848.36
1607531,836.86
1608531,848.36
1609533,848.36
1610534,859.87
1611535,848.36
1612536,848.36
1613537,848.36
1614538,859.87
1615539,848.36
1616540,825.40
1617541,929.49
1618542,848.36
1619543,848.36
1620544,848.36
1621544,848.36
1622546,848.36
1623546,825.40
1624548,802.53
1625548,836.86
1626550,848.36
1627550,848.36
1628552,825.40
1629552,859.87
1630554,848.36
1631554,848.36
1632556,882.98
1633556,871.41
1634557,848.36
1635558,859.87
1636559,848.36
1637560,859.87
1638561,848.36
1639562,848.36
1640563,859.87
1641564,836.86
1642565,848.36
1643567,825.40
1644567,848.36
1645569,848.36
1646569,836.86
1647570,848.36
1648571,848.36
1649572,848.36
1650573,859.87
1651574,848.36
1652575,848.36
1653576,859.87
1654577,859.87
1655578,859.87
1656579,848.36
1657580,882.98
1658580,859.87
1659582,859.87
1660582,859.87
1661584,882.98
1662584,894.57
1663586,859.87
1664586,859.87
1665588,825.40
1666588,848.36
1667590,871.41
1668590,859.87
1669592,859.87
1670592,859.87
1671593,882.98
1672594,848.36
1673595,859.87
1674596,848.36
1675597,859.87
1676598,848.36
1677599,836.86
1678601,848.36
1679601,859.87
1680603,882.98
1681603,882.98
1682605,848.36
1683605,859.87
1684606,894.57
1685607,894.57
1686608,917.82
1687609,848.36
1688610,848.36
1689611,813.95
1690612,859.87
1691613,859.87
1692614,859.87
1693615,848.36
1694616,859.87
1695617,929.49
1696618,859.87
1697618,848.36
1698620,859.87
1699620,859.87
1700622,859.87
1701622,859.87
1702624,859.87
1703624,859.87
1704626,836.86
1705626,848.36
1706628,848.36
1707628,859.87
1708630,859.87
1709631,859.87
1710631,836.86
1711633,859.87
1712633,859.87
1713635,848.36
1714635,859.87
1715637,859.87
1716637,848.36
1717639,848.36
1718639,871.41
1719641,848.36
1720641,848.36
1721643,848.36
1722643,859.87
1723644,848.36
1724645,859.87
1725646,859.87
1726647,859.87
1727648,859.87
1728649,825.40
1729650,848.36
1730651,848.36
1731652,836.86
1732653,848.36
1733654,836.86
1734654,848.36
1735656,859.87
1736656,859.87
1737658,836.86
1738658,848.36
1739660,836.86
1740660,848.36
1741662,848.36
1742663,848.36
1743664,836.86
1744665,848.36
1745666,871.41
1746667,848.36
1747667,848.36
1748669,836.86
1749669,848.36
1750671,848.36
1751671,836.86
1752673,848.36
1753673,859.87
1754675,836.86
1755675,859.87
1756677,859.87
1757677,871.41
1758679,848.36
1759679,859.87
1760680,802.53
1761681,859.87
1762682,848.36
1763683,848.36
1764684,848.36
1765685,779.77
1766686,859.87
1767687,859.87
1768688,859.87
1769689,848.36
1770690,848.36
1771691,836.86
1772692,859.87
1773693,859.87
1774694,859.87
1775695,859.87
1776696,917.82
1777697,848.36
1778698,859.87
1779699,871.41
1780700,848.36
1781701,871.41
1782702,836.86
1783703,848.36
1784704,848.36
1785705,894.57
1786705,894.57
1787707,848.36
1788707,859.87
1789709,882.98
1790709,836.86
1791711,802.53
1792711,848.36
1793713,871.41
1794713,859.87
1795715,859.87
1796715,791.14
1797716,859.87
1798717,859.87
1799718,848.36
1800719,859.87
1801720,848.36
1802721,848.36
1803722,848.36
1804724,848.36
1805724,848.36
1806726,836.86
1807726,836.86
1808728,848.36
1809728,871.41
1810729,859.87
1811730,836.86
1812731,848.36
1813732,859.87
1814733,848.36
1815734,848.36
1816735,848.36
1817736,848.36
1818737,859.87
1819738,848.36
1820739,848.36
1821740,836.86
1822741,848.36
1823741,848.36
1824743,825.40
1825743,836.86
1826745,848.36
1827745,848.36
1828747,836.86
1829747,825.40
1830749,848.36
